id,name,path,parent_id
1,Profile,/profile,
2,Manual Entry,/profile/flow,1
3,Import Flow,/profile/import-flow,1
4,Perform,/perform,
5,Plan,/plan,
6,Projects,/plan/projects,5
7,Opportunities,/plan/opportunities,5
8,Action Plan,/plan/actions,5
9,ForeCasting,/plan/forecasting,5
10,Settings,/settings,
11,Target,/settings/target,10
12,Economic Metrics,/settings/economic-metrics,10
13,Dashboards,/settings/dashboards,10
14,Contracts,/settings/contracts,10
15,Resource Types,/settings/resource-types,10
16,Users Management,/settings/users,10
17,Business Settings,/settings/businessSettings,10
18,Report,/report,
19,Profile Dashboard,/profile/dashboard,1
20,Data Records,/profile/data-records,1